I0,A11,B11,D11,L,f,b,h,S,lambda,KXL,KYL,KZL,KXR,KYR,KZR,Pcr
0.6081016,13935069.0,783.7019,12.697039,0.55851257,0.10325902,0.05918501,0.0033058955,0.60589445,634.7465,4.2313724,2.0691457,315.07977,4.2313724,2.0691457,315.07977,135.0209
4.0948358,77607740.0,31055.996,1582.1573,1.9442748,0.15186639,0.05325175,0.015914112,1.9754596,437.5179,7.998902,8.286973,630.6484,3.8564205,1.8359536,377.08075,8.541365
2.0250714,73142750.0,-1788.8983,298.7857,2.5993674,0.31700042,0.049903557,0.0073412303,2.6990595,1335.4209,7.2736897,8.811848,776.6818,6.517925,9.844976,895.5903,23.362597
0.91670454,56026570.0,3524.121,142.56313,0.6818354,0.13154516,0.054302048,0.00553418,0.74447274,466.7047,10.0,10.0,1000.0,10.0,10.0,1000.0,115.868965
0.13297074,6184525.5,66.576195,1.1122453,0.5065668,0.062394556,0.02153587,0.0014806449,0.52637255,1241.2124,10.0,10.0,0.0,10.0,10.0,0.0,58.968296
5.458228,127353090.0,21271.74,818.486,2.9831583,0.3888705,0.10180021,0.0087745255,3.1132963,1228.0599,6.5370135,1.7731025,161.35593,6.5370135,1.7731025,161.35593,20.327873
2.4139605,121954110.0,-13107.927,464.21906,2.8625014,0.28681436,0.08880411,0.0068907063,2.9373877,1505.5598,4.8691444,3.0031097,150.79381,6.041969,6.390901,658.6924,16.50876
0.7046263,28272198.0,-4.5474735e-12,36.392204,0.7395641,0.15437053,0.06857323,0.003865751,0.8181949,721.1613,2.0329068,3.217013,383.52896,2.0329068,3.217013,383.52896,113.60024
7.020121,168799760.0,-9195.542,748.1127,2.6889968,0.26156574,0.1396981,0.007512571,2.755382,1308.833,7.116707,0.35404494,49.52212,3.131018,3.6566393,325.1017,15.992739
1.9022065,41813436.0,6253.2344,82.91515,1.5589329,0.18196861,0.0917984,0.004856476,1.6138529,1146.0535,10.0,10.0,0.0,10.0,10.0,0.0,17.588722
10.658053,292844380.0,40323.33,2188.7092,2.8152294,0.5472825,0.17061111,0.009915341,3.0775437,1125.7155,2.809871,2.3240836,141.96251,3.100454,2.8839784,59.369095,30.515884
1.2147146,50499620.0,-7.275958e-12,184.37053,1.1874869,0.10387952,0.048613008,0.006531382,1.2112929,633.93896,10.0,10.0,0.0,10.0,10.0,0.0,16.369957
0.27746937,2991180.0,-102.90147,1.0629351,0.9850793,0.11152313,0.02318582,0.0021191959,1.0177815,1707.3495,10.0,10.0,1000.0,10.0,10.0,1000.0,55.557175
0.37184167,10861277.0,365.88718,4.3465977,0.95293117,0.0872364,0.027517058,0.0021920279,0.97381836,1539.3723,3.7653499,3.1930459,755.7993,3.7653499,3.1930459,755.7993,42.05451
5.3083863,103723200.0,7906.7593,590.59875,2.3415515,0.27805376,0.09981175,0.008405886,2.4268372,1017.0266,8.880016,3.0390747,918.3853,9.091503,6.3104286,259.38614,24.090246
7.3985357,295572540.0,-48831.355,2058.004,2.2741466,0.470367,0.16604818,0.009240203,2.5118837,951.93756,10.0,10.0,1000.0,10.0,10.0,1000.0,39.36537
