L_m,q_cr,P_cr_N,N_p,q_cr_over_Np
2.5707070707070705,56.07297134399414,34370.950964191674,843.3357230771262,0.06648950093018419
2.595959595959596,54.99246597290039,33056.0151893886,827.0082153800395,0.06649567072030767
2.621212121212121,53.86018753051758,31754.603046516168,811.1503241766437,0.06639976083987667
2.646464646464646,52.971588134765625,30637.545012707706,795.7442109672548,0.06656861263291732
2.671717171717172,52.348087310791016,29707.28869125603,780.7728762781181,0.06704649828555798
2.696969696969697,51.85421752929688,28878.532072860413,766.2201127472154,0.06767535420517494
2.7222222222222223,51.42790222167969,28112.199216528017,752.070461242199,0.06838176058229428
2.7474747474747474,51.059043884277344,27399.86489116216,738.309169788552,0.06915672454522052
2.7727272727272725,50.75605392456055,26743.405156889,724.9221551041469,0.07001586800346668
2.797979797979798,50.52635192871094,26143.99524682039,711.8959665528838,0.07097434780164265
2.823232323232323,50.34732437133789,25587.409668080854,699.2177523450864,0.07200521468809887
2.8484848484848486,50.178707122802734,25051.561542979645,686.8752278260175,0.07305359851398335
2.8737373737373737,50.00870513916016,24529.83457876719,674.8566457063849,0.07410270826749454
2.898989898989899,49.77345275878906,23990.95446316484,663.1507681000891,0.07505601313165754
2.9242424242424243,49.39900207519531,23401.0093898204,651.7468402449131,0.07579477033848324
2.9494949494949494,48.91520309448242,22776.7476132863,640.63456579138,0.07635429885687975
2.974747474747475,48.38931655883789,22150.954311697504,629.8040835537338,0.07683233218463151
3.0,47.88591766357422,21553.036635501485,619.2459456250068,0.07732940038104379
