h,q_cr,P_cr_N,N_p,q_cr_over_Np
0.0182777777777777,94.566162109375,1869801.743564656,48005.903634347196,0.0019698860962949344
0.0186666666666666,95.18033599853516,2004643.5842978389,51135.76851689641,0.001861326010326518
0.0190555555555555,95.476318359375,2139193.7778750653,54398.79946329172,0.001755118114762852
0.0194444444444444,95.85364532470705,2281838.321773004,57797.77076652993,0.0016584315286466873
0.0198333333333333,96.45943450927734,2436808.846005051,61335.4567196078,0.001572653725401234
0.0202222222222222,97.02322387695312,2598076.6206190875,65014.63161552214,0.001492329056799408
0.0206111111111111,98.55401611328124,2794268.649290164,68838.06974726978,0.0014316789601322318
0.0209999999999999,99.19522094726562,2974666.2857666006,72808.54540784641,0.0013624117937202408
0.0213888888888888,99.70545959472656,3159171.704339392,76928.83289025091,0.0012960739926598068
0.0217777777777777,101.47412109375,3393794.973765432,81201.70648747907,0.0012496550316882422
0.0221666666666666,102.9915771484375,3632390.226183478,85629.94049252762,0.0012027519411557332
0.0225555555555555,104.29948425292967,3875541.254985709,90216.30919839344,0.001156104535639627
0.0229444444444444,104.06066131591795,4070135.232925194,94963.58689807329,0.0010957953960564776
0.0233333333333333,102.4776611328125,4215500.8258584095,99874.54788456397,0.0010260638301087203
0.0237222222222222,101.61243438720705,4392407.089783336,104951.96645086227,0.0009681803764466026
0.0241111111111111,101.35501098632812,4600303.833928949,110198.61688996496,0.0009197484854781134
0.0244999999999999,101.2470932006836,4821369.703701017,115617.27349486746,0.0008757090540210516
0.0248888888888888,101.14389038085938,5049470.030178324,121210.71055856932,0.0008344468068437434
0.0252777777777777,100.99127960205078,5281899.91400871,126981.70237406596,0.0007953215125794114
0.0256666666666666,100.6496124267578,5510742.727833688,132933.0232343542,0.0007571452899955313
0.0260555555555555,99.95948028564452,5725515.83674052,139067.44743243075,0.0007187841736594196
0.0264444444444444,99.54402160644533,5960849.312497543,145387.74926129254,0.000684679569717691
0.0268333333333333,101.39054870605467,6343237.441276359,151896.7030139363,0.0006674967046305953
0.0272222222222222,101.93889617919922,6658865.907047237,158597.0829833588,0.0006427539161605855
0.0276111111111111,101.4863510131836,6917495.836177519,165491.66346255687,0.0006132414702336065
0.0279999999999999,99.6938705444336,7086506.168619789,172583.21874452542,0.0005776568038866526
0.0283888888888888,100.1594467163086,7420389.801906135,179874.52312226495,0.0005568295330419187
0.0287777777777777,100.79112243652344,7778281.627324051,187368.35088877036,0.0005379303492741805
0.0291666666666666,102.59596252441406,8242904.782295224,195067.4763370385,0.0005259511449625168
0.0295555555555555,101.3241958618164,8470716.858435385,202974.67376006622,0.0004991962493881894
0.0299444444444444,98.6178741455078,8574208.392717613,211092.71745085012,0.0004671780028056607
0.0303333333333333,96.96671295166016,8763401.399483759,219424.38170238724,0.00044191403069864595
0.0307222222222222,96.45796966552734,9057025.965851158,227972.44080767423,0.0004231124136048654
0.0311111111111111,96.79181671142578,9437888.1253215,236739.66905970796,0.0004088533919805978
0.0315,97.34508514404295,9852247.394886017,245728.8407514851,0.00039614839205012866
0.0318888888888888,97.79025268554688,10268413.48047316,254942.7301760002,0.0003835773336938739
0.0322777777777777,98.08441925048828,10680719.873427631,264384.11162625457,0.0003709921093486317
0.0326666666666666,98.2903289794922,11094682.27385344,274055.759395243,0.00035865084242852187
0.0330555555555555,98.49484252929688,11519575.885961955,283960.44777596195,0.00034686113260043515
0.0334444444444444,98.64532470703124,11949179.445129309,294100.9510614085,0.00033541314419766705
0.0338333333333333,98.71592712402344,12379731.036672616,304480.04354457924,0.0003242114851759417
0.0342222222222222,98.74573516845705,12815412.409553433,315100.4995184711,0.0003133785421456262
0.0346111111111111,98.7394790649414,13256444.998515071,325965.09327608056,0.0003029142724227611
0.035,98.70916748046876,13704122.75187175,337076.59911040496,0.00029283898004482325
0.0353888888888888,98.6594009399414,14158879.111481162,348437.7913144376,0.00028314781978086036
0.0357777777777777,98.44769287109376,14599408.065001464,360051.4441811813,0.00027342674071195765
0.0361666666666666,98.12197875976562,15030774.735002492,371920.3320036301,0.00026382526126269407
0.0365555555555555,97.69715118408205,15453671.761704002,384047.2290747809,0.0002543883767094142
0.0369444444444444,97.0117645263672,15840228.51435562,396434.9096876299,0.0002447104484385783
0.0373333333333333,96.2481460571289,16217066.390432104,409086.1481351748,0.00023527598403387032
0.0377222222222222,94.43500518798828,16414000.186355144,422003.7187104114,0.00022377766119353025
0.0381111111111111,91.65150451660156,16427975.570388213,435190.39570633735,0.00021060093563840318
0.0385,88.77062225341797,16403671.769446053,448648.95341594884,0.0001978620959160412
0.0388888888888888,85.74195861816406,16329001.264044506,462382.16613223945,0.00018543526307552744
0.0392777777777777,86.45032501220703,16962777.847865753,476392.80814821296,0.00018146857705146345
0.0396666666666666,91.57555389404295,18507437.53098439,490683.6537568624,0.00018662849922328848
0.0400555555555555,88.68647766113281,18455903.183917586,505257.47725118476,0.00017552729381388853
0.0404444444444444,81.55133819580078,17470178.10213495,520117.05292417714,0.000156794201876879
0.0408333333333333,73.26366424560547,16151867.96650474,535265.155068836,0.00013687359162429253
0.0412222222222222,64.59268188476562,14650995.51147366,550704.5579781582,0.00011729098833303549
0.0416111111111111,56.469383239746094,13174392.56270146,566438.0359451404,9.969207513673245e-05
0.042,53.08258819580078,12734725.238525392,582468.3632627795,9.113385643548278e-05
