E_GPa,q_cr,P_cr_N,N_p,q_cr_over_Np
110.0,71.60188293457031,49609.505534896256,1682.1910098954054,0.042564656756204126
111.51515151515152,71.60456848144531,50294.718373143936,1705.3616849628352,0.04198790738224296
113.03030303030305,71.60718536376953,50979.933585013365,1728.5323600302652,0.041426580733794155
114.54545454545456,71.6097412109375,51665.154709093935,1751.7030350976952,0.040880069153356076
116.06060606060606,71.61223602294922,52350.37999793412,1774.873710165125,0.04034779241633298
117.57575757575758,71.61473083496094,53035.65290482975,1798.0443852325543,0.0398292341519136
119.0909090909091,71.61713409423828,53720.90475493389,1821.2150602999843,0.03932382048413423
120.6060606060606,71.61947631835938,54406.15610992674,1844.3857353674139,0.03883107255982562
122.12121212121212,71.6218032836914,55091.440433506,1867.5564104348439,0.038350543460700555
123.63636363636364,71.62406158447266,55776.71569946127,1890.727085502274,0.03788175571909451
125.15151515151516,71.62628173828125,56462.00399849287,1913.8977605697037,0.03742429883870102
126.66666666666669,71.62845611572266,57147.29815148725,1937.0684356371337,0.03697776227103865
128.1818181818182,71.63060760498047,57832.61532715616,1960.2391107045635,0.03654177044719533
129.6969696969697,71.6326904296875,58517.91747474149,1983.4097857719926,0.03611593072876076
131.21212121212122,71.63475036621094,59203.2404606869,2006.580460839423,0.03569991423929425
132.72727272727272,71.63676452636719,59888.564495103245,2029.7511359068528,0.035293373290495186
134.24242424242425,71.63874053955078,60573.8947184106,2052.921810974283,0.034895990756487805
135.75757575757575,71.64067840576172,61259.230038451686,2076.092486041712,0.03450745999391972
137.27272727272725,71.6426010131836,61944.589152958426,2099.263161109142,0.034127498800737
138.78787878787878,71.64449310302734,62629.95828618754,2122.4338361765717,0.03375581932489839
140.3030303030303,71.64659118652344,63315.545574183896,2145.604511244002,0.03339226349080679
141.8181818181818,71.64874267578125,64001.22061337357,2168.7751863114318,0.03303650056861755
143.33333333333331,71.6508560180664,64686.90227831712,2191.945861378861,0.03268824165802793
144.84848484848484,71.65294647216797,65372.6033982216,2215.1165364462913,0.032347258165983765
146.36363636363637,71.65502166748047,66058.3303512852,2238.2872115137216,0.03201332755639577
147.87878787878788,71.65705871582031,66744.06138173581,2261.4578865811513,0.031686222918858205
149.39393939393938,71.65910339355469,67429.83847209752,2284.62856164858,0.03136575660327284
150.9090909090909,71.6611099243164,68115.61832925762,2307.7992367160105,0.031051708824676574
152.42424242424244,71.66307830810547,68801.39986105879,2330.9699117834407,0.030743888175405732
153.93939393939394,71.66508483886719,69487.2559507939,2354.1405868508705,0.030442143191938015
155.45454545454544,71.66703033447266,70173.0905759988,2377.3112619183,0.030146254502930802
156.96969696969697,71.66902160644531,70859.00759354551,2400.481936985729,0.02985609702043402
158.4848484848485,71.67095947265625,71544.90930632889,2423.6526120531603,0.029571465446915385
160.0,71.67291259765625,72230.86338441112,2446.823287120589,0.029292230859058323
161.5151515151515,71.67486572265625,72916.85474146034,2469.993962188019,0.029018235194050356
163.03030303030303,71.67680358886719,73602.86770866072,2493.164637255449,0.028749326265020015
164.54545454545456,71.67874908447266,74288.92557080454,2516.3353123228794,0.02848537265023896
166.06060606060606,71.68070983886719,74975.03652635207,2539.5059873903087,0.028226241715826376
167.57575757575756,71.68266296386719,75661.17685364818,2562.676662457739,0.02797179371630903
169.0909090909091,71.68463134765625,76347.37071121091,2585.847337525168,0.027721911617668554
170.60606060606062,71.6866226196289,77033.62673436351,2609.018012592599,0.027476476694920714
172.12121212121212,71.68861389160156,77719.92076458788,2632.1886876600283,0.027235362809545215
173.63636363636363,71.69063568115234,78406.28617820912,2655.3593627274577,0.026998468338204577
175.15151515151516,71.69269561767578,79092.73226584485,2678.5300377948884,0.02676568662888586
176.66666666666669,71.69473266601562,79779.19220203433,2701.700712862318,0.026536889273001154
178.1818181818182,71.69681549072266,80465.7423940977,2724.8713879297475,0.026311999828070837
179.6969696969697,71.69895935058594,81152.4014232701,2748.0420629971773,0.026090924995662842
181.2121212121212,71.70112609863281,81839.12749633468,2771.2127380646066,0.025873555326072988
182.72727272727272,71.70366668701172,82526.32519201764,2794.3834131320364,0.025659924243052926
184.24242424242425,71.70624542236328,83213.61564825513,2817.5540881994666,0.025449820368199757
185.75757575757572,71.7088394165039,83900.97317750896,2840.724763266896,0.025243149334199192
187.27272727272725,71.71149444580078,84588.45221289572,2863.895438334326,0.02503984380362329
188.7878787878788,71.71420288085938,85276.04542968098,2887.0661134017573,0.024839820102477782
190.3030303030303,71.7169418334961,85963.72692189498,2910.236788469186,0.02464299197840184
191.8181818181818,71.71973419189453,86651.5252166848,2933.407463536616,0.024449291509413006
193.33333333333331,71.72257995605469,87339.44184307053,2956.5781386040458,0.024258645161300774
194.84848484848484,71.72545623779297,88027.45023978823,2979.7488136714755,0.024070974005831376
196.3636363636364,71.72838592529297,88715.57958927922,3002.9194887389062,0.023886216794781843
197.87878787878788,71.73136138916016,89403.8219115146,3026.0901638063347,0.023704304071010773
199.3939393939394,71.73434448242188,90092.13060778572,3049.2608388737644,0.02352515848034724
200.9090909090909,71.7374267578125,90780.62175256351,3072.4315139411947,0.02334874721610655
202.42424242424244,71.74051666259766,91469.18145569156,3095.6021890086245,0.023174979303646495
203.93939393939397,71.7436294555664,92157.829536183,3118.7728640760547,0.02300380071981313
205.45454545454544,71.74679565429688,92846.60614173792,3141.943539143484,0.022835163891536878
206.96969696969697,71.74996948242188,93535.45312590509,3165.1142142109134,0.02266899853416812
